# 代码仓萃取清单 — 每行: slug | git_url | ref(可选) | 备注
# 镜像 papers_download_list.txt; 以 # 开头的行为注释

# ═══ gitcode.com/Ascend 组织 (105 仓, 2026-09-01 枚举) ═══
solution-agent | https://gitcode.com/Ascend/solution-agent.git |  | solution-agent 仓库是昇腾（Ascend）社区用于辅助开发者快速开发和部署行业场景解决方案的平台，提供方案参考设计、环境快速部署、性能优化等能力，
monarch_npu | https://gitcode.com/Ascend/monarch_npu.git |  | The official repository of Ascend for PyTorch ecological activities.
torchao_npu | https://gitcode.com/Ascend/torchao_npu.git |  | Ascend Extension for PyTorchAO
taco | https://gitcode.com/Ascend/taco.git |  | Torch Ascend Custom Operators
torchcomms_npu | https://gitcode.com/Ascend/torchcomms_npu.git |  | The official repository of Ascend for PyTorch ecological activities.
pytorch-ecosystem | https://gitcode.com/Ascend/pytorch-ecosystem.git |  | The official repository of Ascend for PyTorch ecological activities.
mindspeed-agent | https://gitcode.com/Ascend/MindSpeed-Agent.git |  | 提供MindSpeed系列套件开发agent
flashgen | https://gitcode.com/Ascend/FlashGen.git |  | MindIE FlashGen 是一个面向多模态生成的以训助推(Training-aware Acceleration)加速套件。通过深度融合步数蒸馏、量化感知
ops-rec | https://gitcode.com/Ascend/ops-rec.git |  | 基于昇腾平台，面向推荐系统的高性能融合算子仓库
msboost | https://gitcode.com/Ascend/msboost.git |  | 针对AI推理训练场景构建极致性能加速工具。
libdevice | https://gitcode.com/Ascend/libdevice.git |  | libdevice
ecodevhub | https://gitcode.com/Ascend/EcoDevHub.git |  | EcoDevHub 仓库是昇腾（Ascend）社区用于支持生态发展的仓库，通过这个仓库统一回收生态技术创新项目、外部案例、竞赛成果、社区任务等。
atk | https://gitcode.com/Ascend/ATK.git |  | NA
torchtitanturbo | https://gitcode.com/Ascend/TorchTitanTurbo.git |  | 提供亲和昇腾NPU的Torch实验性加速特性
fsdpturbo | https://gitcode.com/Ascend/FSDPTurbo.git |  | 提供NPU亲和的FSDP增强特性
model-agent | https://gitcode.com/Ascend/model-agent.git |  | 昇腾模型 Agent，大模型落地全流程一键通！查适配、做调优、快部署、稳上线，文档一键生成，一站式搞定无压力！
